"Family","Species_number","Species_name","English_name","Clutch_size","Egg_mass","Mating_System","mass","wing","tarsus","bill","tail","Gender"
14,404,"Tachyeres patachonicus","Flying Steamerduck",NA,115,NA,NA,NA,NA,NA,NA,"Unsexed"
14,405,"Plectropterus gambensis","Spur-winged Goose",6.5,140,4,5150,NA,NA,NA,NA,"Unsexed"
14,406,"Cairina moschata","Muscovy Duck",NA,74,4,3600,NA,NA,NA,NA,"Unsexed"
14,407,"Cairina scutulata","White-winged Duck",NA,72.3,NA,NA,NA,NA,NA,NA,"Unsexed"
14,409,"Sarkidiornis melanotos","Comb Duck",8.5,66,NA,NA,NA,NA,NA,NA,"Unsexed"
14,410,"Nettapus pulchellus","Green Pygmy-goose",NA,30,2,NA,NA,NA,NA,NA,"Unsexed"
14,411,"Nettapus coromandelianus","Cotton Pygmy-goose",NA,27,2,NA,NA,NA,NA,NA,"Unsexed"
14,412,"Nettapus auritus","African Pygmy-goose",9,23,NA,NA,NA,NA,NA,66,"Unsexed"
14,414,"Aix sponsa","Wood Duck",10.95,44,2,681,NA,NA,NA,115,"Unsexed"
14,415,"Aix galericulata","Mandarin Duck",11.5,41,NA,NA,NA,NA,NA,NA,"Unsexed"
14,416,"Chenonetta jubata","Maned Duck",NA,54,2,815,NA,NA,NA,NA,"Unsexed"
14,422,"Anas specularis","Spectacled Duck",NA,53,NA,NA,NA,NA,NA,NA,"Unsexed"
14,423,"Anas capensis","Cape Teal",8.09,50,NA,NA,193.8,37,39.6,64.3,"Unsexed"
14,424,"Anas strepera","Gadwall",9.96,44,NA,NA,NA,NA,NA,NA,"Unsexed"
14,425,"Anas falcata","Falcated Duck",NA,49,NA,NA,NA,NA,NA,NA,"Unsexed"
14,426,"Anas penelope","Eurasian Wigeon",9,44,NA,NA,NA,NA,NA,NA,"Unsexed"
14,427,"Anas americana","American Wigeon",8.48,43,2,792,NA,NA,NA,NA,"Unsexed"
14,428,"Anas sibilatrix","Chiloe Wigeon",NA,53,NA,NA,NA,NA,NA,NA,"Unsexed"
14,429,"Anas sparsa","African Black Duck",NA,71.7,NA,NA,NA,NA,NA,NA,"Unsexed"
14,430,"Anas rubripes","American Black Duck",9.33,63,2,1400,NA,NA,NA,NA,"Unsexed"
14,431,"Anas fulvigula","Mottled Duck",9.4,55.5,NA,NA,NA,NA,NA,NA,"Unsexed"
14,432,"Anas platyrhynchos","Mallard",10.53,54,2,1140,NA,NA,NA,NA,"Unsexed"
14,435,"Anas poecilorhyncha","Spot-billed Duck",NA,57,NA,NA,NA,NA,NA,NA,"Unsexed"
14,437,"Anas superciliosa","Pacific Black Duck",11,63,2,1000,NA,NA,NA,NA,"Unsexed"
14,438,"Anas undulata","Yellow-billed Duck",7.8,55,NA,NA,NA,NA,NA,NA,"Unsexed"
14,439,"Anas melleri","Meller's Duck",NA,45,NA,NA,NA,NA,NA,NA,"Unsexed"
14,440,"Anas discors","Blue-winged Teal",10.1,29,2,396,NA,NA,NA,NA,"Unsexed"
14,441,"Anas cyanoptera","Cinnamon Teal",9.13,32,NA,NA,NA,NA,NA,NA,"Unsexed"
14,443,"Anas platalea","Red Shoveler",NA,46,NA,NA,NA,NA,NA,NA,"Unsexed"
14,444,"Anas rhynchotis","Australian Shoveler",10,43.2,2,667,NA,NA,NA,NA,"Unsexed"
14,445,"Anas clypeata","Northern Shoveler",9.2,40,2,618,NA,NA,NA,NA,"Unsexed"
14,446,"Anas bernieri","Bernier's Teal",NA,36,NA,NA,NA,NA,NA,NA,"Unsexed"
14,447,"Anas gibberifrons","Sunda Teal",NA,35,NA,NA,NA,NA,NA,NA,"Unsexed"
14,449,"Anas castanea","Chestnut Teal",9.5,40,2,660,NA,NA,NA,NA,"Unsexed"
14,451,"Anas bahamensis","White-cheeked Pintail",NA,34,NA,NA,NA,NA,NA,NA,"Unsexed"
14,452,"Anas erythrorhyncha","Red-billed Duck",10,39,NA,NA,NA,NA,NA,NA,"Unsexed"
14,453,"Anas flavirostris","Speckled Teal",NA,39,NA,NA,NA,NA,NA,NA,"Unsexed"
14,454,"Anas acuta","Northern Pintail",8.3,45,2,899.72,NA,NA,NA,NA,"Unsexed"
14,455,"Anas eatoni","Eaton's Pintail",4.11,37,2,NA,NA,NA,NA,NA,"Unsexed"
14,456,"Anas georgica","Yellow-billed Pintail",NA,37,2,590,NA,NA,NA,NA,"Unsexed"
14,457,"Anas querquedula","Garganey",8.5,27,NA,NA,NA,NA,NA,NA,"Unsexed"
14,458,"Anas formosa","Baikal Teal",NA,31,NA,NA,NA,NA,NA,NA,"Unsexed"
14,459,"Anas crecca","Common Teal",9.5,26.5,2,360,NA,NA,NA,NA,"Unsexed"
14,461,"Anas versicolor","Silver Teal",NA,34,NA,NA,NA,NA,NA,NA,"Unsexed"
14,466,"Netta rufina","Red-crested Pochard",9,56,NA,NA,NA,NA,NA,NA,"Unsexed"
14,468,"Netta erythrophthalma","Southern Pochard",6.7,59,NA,NA,NA,NA,NA,NA,"Unsexed"
14,469,"Aythya ferina","Common Pochard",8.54,66,NA,NA,NA,NA,NA,NA,"Unsexed"
14,470,"Aythya valisineria","Canvasback",8.1,68,2,1248,NA,NA,NA,NA,"Unsexed"
14,471,"Aythya americana","Redhead",NA,65,NA,NA,NA,NA,NA,NA,"Unsexed"
14,472,"Aythya collaris","Ring-necked Duck",8.84,51,2,753,NA,NA,NA,NA,"Unsexed"
14,473,"Aythya nyroca","Ferruginous Pochard",9,43,NA,NA,NA,NA,NA,NA,"Unsexed"
14,475,"Aythya baeri","Baer's Pochard",NA,43,NA,NA,NA,NA,NA,NA,"Unsexed"
14,476,"Aythya australis","Hardhead",11,60,NA,NA,NA,NA,NA,NA,"Unsexed"
14,477,"Aythya fuligula","Tufted Duck",9.5,56,NA,NA,NA,NA,NA,NA,"Unsexed"
14,478,"Aythya novaeseelandiae","New Zealand Scaup",7.39,63,2,NA,NA,NA,NA,NA,"Unsexed"
14,479,"Aythya marila","Greater Scaup",9.5,67,2,932,NA,NA,NA,NA,"Unsexed"
14,480,"Aythya affinis","Lesser Scaup",9.91,51,2,640,NA,NA,NA,NA,"Unsexed"
14,481,"Somateria mollissima","Common Eider",3.06,110,2,2096,NA,NA,NA,NA,"Unsexed"
14,482,"Somateria spectabilis","King Eider",4.5,73,NA,NA,NA,NA,NA,NA,"Unsexed"
14,483,"Somateria fischeri","Spectacled Eider",NA,73,NA,NA,NA,NA,NA,NA,"Unsexed"
14,484,"Polysticta stelleri","Steller's Eider",7,58,NA,NA,NA,NA,NA,NA,"Unsexed"
14,486,"Histrionicus histrionicus","Harlequin Duck",5.7,53,2,653,NA,NA,NA,NA,"Unsexed"
14,487,"Clangula hyemalis","Long-tailed Duck",7.5,43,2,839,NA,NA,NA,NA,"Unsexed"
14,488,"Melanitta nigra","Black Scoter",6.8,72,2,950,NA,NA,NA,NA,"Unsexed"
14,489,"Melanitta perspicillata","Surf Scoter",NA,62,NA,NA,NA,NA,NA,NA,"Unsexed"
14,490,"Melanitta fusca","White-winged Scoter",8.43,92,2,2003.41,NA,NA,NA,NA,"Unsexed"
14,491,"Bucephala clangula","Common Goldeneye",9.3,57,NA,NA,NA,NA,NA,NA,"Unsexed"
14,492,"Bucephala islandica","Barrow's Goldeneye",9.5,70,NA,NA,NA,NA,NA,NA,"Unsexed"
14,493,"Bucephala albeola","Bufflehead",NA,37,2,473,NA,NA,NA,NA,"Unsexed"
14,494,"Mergellus albellus","Smew",8,42,NA,NA,NA,NA,NA,NA,"Unsexed"
14,495,"Lophodytes cucullatus","Hooded Merganser",NA,60,NA,NA,NA,NA,NA,NA,"Unsexed"
14,497,"Mergus serrator","Red-breasted Merganser",9.2,72,2,1137.5,NA,NA,NA,NA,"Unsexed"
14,499,"Mergus merganser","Common Merganser",9.4,82,2,1709,NA,NA,NA,NA,"Unsexed"
23,971,"Ceratogymna bucinator","Trumpeter Hornbill",3,30.9,NA,NA,NA,NA,NA,NA,"Unsexed"
23,972,"Ceratogymna fistulator","Piping Hornbill",1.5,33,NA,NA,NA,NA,NA,NA,"Unsexed"
23,973,"Ceratogymna brevis","Silvery-cheeked Hornbill",1.5,27.6,NA,NA,NA,NA,NA,NA,"Unsexed"
23,977,"Ceratogymna atrata","Black-casqued Hornbill",1.5,44.7,NA,NA,NA,NA,NA,NA,"Unsexed"
24,979,"Bucorvus abyssinicus","Abyssinian Ground-Hornbill",1.5,95.3,NA,NA,NA,NA,NA,NA,"Unsexed"
24,980,"Bucorvus leadbeateri","Southern Ground-Hornbill",NA,100.5,NA,NA,NA,NA,NA,NA,"Unsexed"
35,1088,"Dacelo novaeguineae","Laughing Kookaburra",2.92,30.4,2,NA,NA,NA,NA,NA,"Unsexed"
35,1089,"Dacelo leachii","Blue-winged Kookaburra",2.58,33,2,NA,NA,NA,NA,NA,"Unsexed"
36,1148,"Megaceryle maxima","Giant Kingfisher",3.5,30.6,NA,NA,NA,NA,NA,NA,"Unsexed"
45,1387,"Calyptorhynchus baudinii","White-tailed Black-Cockatoo",1.5,29,NA,NA,NA,NA,NA,NA,"Unsexed"
45,1388,"Calyptorhynchus latirostris","Slender-billed Black-Cockatoo",1.5,32.8,2,NA,NA,NA,NA,NA,"Unsexed"
45,1389,"Calyptorhynchus funereus","Yellow-tailed Black-Cockatoo",2,33.8,2,NA,NA,NA,NA,NA,"Unsexed"
45,1390,"Calyptorhynchus banksii","Red-tailed Black-Cockatoo",1,33.5,2,NA,NA,NA,NA,NA,"Unsexed"
45,1391,"Calyptorhynchus lathami","Glossy Black-Cockatoo",1,25.5,2,NA,NA,NA,NA,NA,"Unsexed"
45,1396,"Cacatua galerita","Sulphur-crested Cockatoo",2.5,28,2,NA,NA,NA,NA,NA,"Unsexed"
45,1407,"Nestor notabilis","Kea",2.5,26,2,NA,NA,NA,NA,NA,"Unsexed"
45,1490,"Strigops habroptilus","Kakapo",2.2,36,5,NA,NA,NA,NA,NA,"Unsexed"
49,2117,"Tauraco persa","Guinea Turaco",2,25,NA,297,185,41.8,23.5,NA,"Unsexed"
49,2134,"Corythaixoides concolor","Grey Go-away-bird",2.6,24,NA,NA,NA,40.8,24.3,245,"Unsexed"
49,2135,"Corythaixoides personatus","Bare-faced Go-away-bird",2.5,24,NA,250,NA,37,NA,NA,"Unsexed"
49,2139,"Corythaeola cristata","Great Blue Turaco",2,54,NA,NA,NA,NA,NA,NA,"Unsexed"
50,2140,"Tyto tenebricosa","Greater Sooty-Owl",1.6,42.5,2,NA,NA,NA,NA,NA,"Unsexed"
50,2147,"Tyto novaehollandiae","Australian Masked-Owl",2.6,23.5,2,NA,NA,NA,NA,NA,"Unsexed"
50,2153,"Tyto capensis","African Grass-Owl",3,24.2,NA,419,NA,NA,21,NA,"Unsexed"
51,2204,"Bubo virginianus","Great Horned Owl",2.55,69,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2205,"Bubo bubo","Eurasian Eagle-Owl",2,80,2,NA,NA,NA,NA,NA,"Unsexed"
51,2208,"Bubo capensis","Cape Eagle-Owl",2.1,57,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2209,"Bubo africanus","Spotted Eagle-Owl",2.5,47.4,NA,666,NA,NA,NA,NA,"Unsexed"
51,2210,"Bubo poensis","Fraser's Eagle-Owl",NA,58.3,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2215,"Bubo lacteus","Verreaux's Eagle-Owl",2,80.3,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2223,"Scotopelia peli","Pel's Fishing-Owl",2,61.5,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2226,"Nyctea scandiaca","Snowy Owl",6.67,63.5,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2230,"Strix aluco","Tawny Owl",2.5,39,2,NA,NA,NA,NA,NA,"Unsexed"
51,2232,"Strix occidentalis","Spotted Owl",2.13,46,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2233,"Strix varia","Barred Owl",2.41,47.2,NA,NA,NA,NA,NA,NA,"Unsexed"
51,2237,"Strix uralensis","Ural Owl",2.89,48,2,NA,NA,NA,NA,NA,"Unsexed"
51,2239,"Strix nebulosa","Great Grey Owl",4,52,2,NA,NA,NA,NA,NA,"Unsexed"
51,2244,"Strix woodfordii","African Wood-Owl",2,38.6,NA,299,NA,NA,NA,NA,"Unsexed"
51,2285,"Ninox strenua","Powerful Owl",1.85,56.5,2,NA,NA,NA,NA,NA,"Unsexed"
51,2286,"Ninox connivens","Barking Owl",2.3,39.3,2,NA,NA,NA,NA,NA,"Unsexed"
51,2289,"Ninox novaeseelandiae","Morepork",2.5,22.2,2,NA,NA,NA,NA,NA,"Unsexed"
51,2306,"Asio otus","Long-eared Owl",3,23,2,NA,NA,NA,NA,NA,"Unsexed"
51,2311,"Asio capensis","Marsh Owl",2.5,26.2,NA,310,NA,NA,NA,NA,"Unsexed"
53,2321,"Podargus strigoides","Tawny Frogmouth",2.08,25,2,NA,NA,NA,NA,NA,"Unsexed"
53,2322,"Podargus papuensis","Papuan Frogmouth",1,26,2,NA,NA,NA,NA,NA,"Unsexed"
60,2441,"Columba trocaz","Trocaz Pigeon",1,26.2,NA,NA,NA,NA,NA,NA,"Unsexed"
60,2732,"Ducula spilorrhoa","Torresian Imperial-Pigeon",NA,22.6,2,467,NA,NA,NA,NA,"Unsexed"
60,2736,"Hemiphaga novaeseelandiae","New Zealand Pigeon",1,26.1,2,NA,NA,NA,NA,NA,"Unsexed"
62,2746,"Tetrax tetrax","Little Bustard",3.5,41,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2747,"Otis tarda","Great Bustard",2.5,143,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2748,"Neotis denhami","Stanley Bustard",1.5,126,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2752,"Ardeotis arabs","Arabian Bustard",2,115,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2753,"Ardeotis kori","Kori Bustard",1.5,158,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2754,"Ardeotis nigriceps","Indian Bustard",NA,145,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2755,"Ardeotis australis","Australian Bustard",1.71,136,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2756,"Chlamydotis undulata","Houbara Bustard",2.5,68,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2758,"Eupodotis gindiana","Buff-crested Bustard",NA,46,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2759,"Eupodotis ruficrista","Red-crested Bustard",1.5,49,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2762,"Eupodotis rueppellii","Rueppell's Bustard",NA,53,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2763,"Eupodotis vigorsii","Karoo Bustard",1.5,64,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2764,"Eupodotis humilis","Little Brown Bustard",2,33,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2766,"Eupodotis caerulescens","Blue Bustard",2,60,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2767,"Eupodotis melanogaster","Black-bellied Bustard",1.5,73,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2769,"Eupodotis bengalensis","Bengal Florican",NA,72,NA,NA,NA,NA,NA,NA,"Unsexed"
62,2770,"Eupodotis indica","Lesser Florican",NA,46,NA,NA,NA,NA,NA,NA,"Unsexed"
63,2771,"Balearica pavonina","Black Crowned-Crane",2.5,137,NA,3629,547.5,196,56.5,244.3,"Unsexed"
63,2772,"Balearica regulorum","Grey Crowned-Crane",2.52,152,NA,NA,565,207,62,239,"Unsexed"
63,2773,"Grus leucogeranus","Siberian Crane",NA,197,NA,NA,NA,NA,NA,NA,"Unsexed"
63,2774,"Grus antigone","Sarus Crane",1.83,225,2,NA,NA,NA,NA,NA,"Unsexed"
63,2775,"Grus rubicunda","Brolga",1.84,181,2,NA,NA,NA,NA,NA,"Unsexed"
63,2777,"Grus canadensis","Sandhill Crane",1.94,152,2,4500,NA,NA,NA,NA,"Unsexed"
63,2778,"Grus virgo","Demoiselle Crane",NA,128,NA,NA,NA,NA,NA,NA,"Unsexed"
63,2779,"Grus paradisea","Blue Crane",NA,185,NA,NA,552.6,235.2,88.8,NA,"Unsexed"
63,2780,"Grus carunculatus","Wattled Crane",NA,240,NA,NA,NA,NA,166.9,NA,"Unsexed"
63,2781,"Grus grus","Common Crane",2,195,2,NA,NA,NA,NA,NA,"Unsexed"
63,2783,"Grus americana","Whooping Crane",1.94,209,NA,7496.5,NA,NA,NA,NA,"Unsexed"
69,2805,"Himantornis haematopus","Nkulengu Rail",3,38.5,NA,NA,NA,NA,NA,NA,"Unsexed"
69,2806,"Canirallus oculeus","Grey-throated Rail",NA,24.5,NA,NA,NA,NA,NA,NA,"Unsexed"
69,2836,"Gallirallus sylvestris","Lord Howe Rail",2.5,29,2,NA,NA,NA,NA,NA,"Unsexed"
69,2909,"Eulabeornis castaneoventris","Chestnut Rail",4.5,40.7,NA,653.4,NA,NA,NA,NA,"Unsexed"
69,2913,"Porphyrio porphyrio","Purple Swamphen",4,41.5,2,NA,NA,NA,NA,NA,"Unsexed"
69,2915,"Porphyrio mantelli","Takahe",1.7,93,2,NA,NA,NA,NA,NA,"Unsexed"
69,2922,"Gallinula chloropus","Common Moorhen",7,22.3,2,NA,NA,NA,NA,NA,"Unsexed"
69,2923,"Gallinula tenebrosa","Dusky Moorhen",8.01,34,2,NA,NA,NA,NA,NA,"Unsexed"
69,2926,"Gallinula ventralis","Black-tailed Native-hen",5.9,24,NA,NA,NA,NA,NA,NA,"Unsexed"
69,2927,"Gallinula mortierii","Tasmanian Native-hen",6.36,45,2,NA,NA,NA,NA,NA,"Unsexed"
69,2928,"Fulica cristata","Red-knobbed Coot",6,41,NA,NA,NA,NA,NA,NA,"Unsexed"
69,2929,"Fulica atra","Common Coot",8,36.5,NA,NA,NA,NA,NA,NA,"Unsexed"
69,2930,"Fulica alai","Hawaiian Coot",5,28,NA,NA,NA,NA,NA,NA,"Unsexed"
69,2931,"Fulica americana","American Coot",7.5,28.9,NA,NA,203,NA,NA,NA,"Unsexed"
71,2942,"Syrrhaptes tibetanus","Tibetan Sandgrouse",NA,27.5,NA,NA,NA,NA,NA,NA,"Unsexed"
71,2944,"Pterocles alchata","Pin-tailed Sandgrouse",2.96,25,NA,NA,NA,NA,NA,NA,"Unsexed"
71,2948,"Pterocles gutturalis","Yellow-throated Sandgrouse",3,30,NA,NA,NA,NA,NA,NA,"Unsexed"
71,2949,"Pterocles orientalis","Black-bellied Sandgrouse",2.76,28,NA,NA,NA,NA,NA,NA,"Unsexed"
74,2963,"Scolopax rusticola","Eurasian Woodcock",3.84,24.5,NA,NA,NA,NA,NA,NA,"Unsexed"
74,2974,"Gallinago media","Great Snipe",4,23.2,NA,NA,NA,NA,NA,NA,"Unsexed"
74,2987,"Coenocorypha aucklandica","Subantarctic Snipe",2.02,23.7,3,NA,107,NA,NA,NA,"Unsexed"
74,2988,"Limosa limosa","Black-tailed Godwit",3.86,39,2,NA,NA,NA,NA,NA,"Unsexed"
74,2989,"Limosa haemastica","Hudsonian Godwit",3.88,37.5,2,NA,NA,NA,NA,NA,"Unsexed"
74,2990,"Limosa lapponica","Bar-tailed Godwit",3.72,37,2,NA,NA,NA,NA,NA,"Unsexed"
74,2991,"Limosa fedoa","Marbled Godwit",3.95,44.5,2,NA,NA,NA,NA,NA,"Unsexed"
74,2994,"Numenius phaeopus","Whimbrel",3.7,50,2,NA,NA,NA,NA,NA,"Unsexed"
74,2995,"Numenius tahitiensis","Bristle-thighed Curlew",3.85,54.8,NA,NA,NA,NA,NA,NA,"Unsexed"
74,2997,"Numenius arquata","Eurasian Curlew",3.83,76,NA,NA,NA,NA,NA,NA,"Unsexed"
74,2998,"Numenius americanus","Long-billed Curlew",3.91,73,NA,NA,NA,NA,NA,NA,"Unsexed"
74,3000,"Bartramia longicauda","Upland Sandpiper",3.99,23.5,NA,NA,NA,NA,NA,NA,"Unsexed"
74,3001,"Tringa erythropus","Spotted Redshank",4,24.5,NA,NA,NA,NA,NA,NA,"Unsexed"
74,3002,"Tringa totanus","Common Redshank",3.92,22.3,NA,NA,NA,NA,NA,NA,"Unsexed"
74,3004,"Tringa nebularia","Common Greenshank",3.91,30.5,NA,NA,NA,NA,NA,NA,"Unsexed"
74,3006,"Tringa melanoleuca","Greater Yellowlegs",3.7,27.9,2,NA,NA,NA,NA,NA,"Unsexed"
74,3016,"Catoptrophorus semipalmatus","Willet",3.89,39.5,NA,NA,NA,NA,NA,NA,"Unsexed"
74,3025,"Calidris tenuirostris","Great Knot",NA,22,NA,NA,NA,NA,NA,NA,"Unsexed"
77,3061,"Chionis alba","Snowy Sheathbill",2.38,45.5,2,NA,NA,NA,NA,NA,"Unsexed"
77,3062,"Chionis minor","Black-faced Sheathbill",2.09,43.1,2,NA,NA,NA,NA,NA,"Unsexed"
79,3064,"Burhinus oedicnemus","Eurasian Thick-knee",1.9,42,NA,NA,NA,NA,NA,NA,"Unsexed"
79,3065,"Burhinus senegalensis","Senegal Thick-knee",2,32,NA,NA,NA,NA,NA,NA,"Unsexed"
79,3070,"Burhinus grallarius","Bush Thick-knee",1.86,41.8,2,695,285,NA,NA,NA,"Unsexed"
80,3073,"Haematopus ostralegus","Eurasian Oystercatcher",2.77,46.7,2,NA,NA,NA,NA,NA,"Unsexed"
80,3075,"Haematopus moquini","African Oystercatcher",3.88,55.8,NA,NA,NA,NA,NA,NA,"Unsexed"
80,3076,"Haematopus finschi","South Island Oystercatcher",2.33,44.2,2,NA,NA,NA,NA,NA,"Unsexed"
80,3077,"Haematopus bachmani","Black Oystercatcher",2.48,45.2,2,681,NA,NA,NA,NA,"Unsexed"
80,3078,"Haematopus palliatus","American Oystercatcher",2.45,44.9,2,560,NA,NA,NA,NA,"Unsexed"
80,3079,"Haematopus longirostris","Pied Oystercatcher",2.08,49,2,650,275,NA,NA,NA,"Unsexed"
80,3080,"Haematopus unicolor","Variable Oystercatcher",2.4,48.2,2,NA,276.5,NA,NA,NA,"Unsexed"
80,3081,"Haematopus fuliginosus","Sooty Oystercatcher",1.8,69.5,2,NA,NA,NA,NA,NA,"Unsexed"
80,3084,"Ibidorhyncha struthersii","Ibisbill",NA,37,NA,294,NA,NA,NA,NA,"Unsexed"
80,3091,"Recurvirostra avosetta","Pied Avocet",3.89,31.7,NA,306,NA,NA,NA,NA,"Unsexed"
80,3092,"Recurvirostra americana","American Avocet",3.78,28.7,NA,NA,NA,NA,NA,NA,"Unsexed"
80,3095,"Pluvialis apricaria","Eurasian Golden-Plover",3.85,32.8,2,NA,NA,NA,NA,NA,"Unsexed"
80,3097,"Pluvialis dominica","American Golden-Plover",3.93,26,2,NA,NA,NA,NA,NA,"Unsexed"
80,3098,"Pluvialis squatarola","Grey Plover",3.96,34.2,2,NA,NA,NA,NA,NA,"Unsexed"
80,3137,"Vanellus vanellus","Northern Lapwing",3.85,25.5,NA,NA,NA,NA,NA,NA,"Unsexed"
80,3142,"Vanellus miles","Masked Lapwing",3.62,32,2,328,229,NA,NA,NA,"Unsexed"
80,3151,"Vanellus senegallus","Wattled Lapwing",2.5,23.3,NA,NA,NA,NA,NA,NA,"Unsexed"
80,3156,"Vanellus gregarius","Sociable Lapwing",NA,26.5,NA,NA,NA,NA,NA,NA,"Unsexed"
80,3159,"Vanellus chilensis","Southern Lapwing",NA,27.8,NA,352.5,NA,NA,NA,NA,"Unsexed"
81,3161,"Dromas ardeola","Crab Plover",1,45,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3179,"Catharacta skua","Great Skua",2,111.7,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3183,"Catharacta maccormicki","South Polar Skua",1.8,89.4,2,NA,NA,NA,NA,NA,"Unsexed"
82,3184,"Stercorarius pomarinus","Pomarine Jaeger",1.96,66,2,NA,NA,NA,NA,NA,"Unsexed"
82,3186,"Stercorarius longicaudus","Long-tailed Jaeger",1.77,39.2,2,NA,NA,NA,NA,NA,"Unsexed"
82,3187,"Rynchops niger","Black Skimmer",3.5,26.9,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3191,"Larus pacificus","Pacific Gull",2.2,98.4,2,NA,NA,NA,NA,NA,"Unsexed"
82,3196,"Larus heermanni","Heermann's Gull",1.52,58.6,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3199,"Larus canus","Mew Gull",2.8,51,2,NA,NA,NA,NA,NA,"Unsexed"
82,3200,"Larus audouinii","Audouin's Gull",2.49,67,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3201,"Larus delawarensis","Ring-billed Gull",2.88,58.6,3,NA,NA,NA,NA,NA,"Unsexed"
82,3204,"Larus dominicanus","Kelp Gull",2.35,84.2,2,NA,NA,NA,NA,NA,"Unsexed"
82,3205,"Larus glaucescens","Glaucous-winged Gull",2.7,95.7,2,NA,NA,NA,NA,NA,"Unsexed"
82,3207,"Larus livens","Yellow-footed Gull",2.63,99.66,NA,1321.5,NA,NA,NA,NA,"Unsexed"
82,3208,"Larus hyperboreus","Glaucous Gull",2.57,112.4,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3210,"Larus argentatus","Herring Gull",2.6,87.5,2,NA,NA,NA,NA,NA,"Unsexed"
82,3215,"Larus ichthyaetus","Great Black-headed Gull",2.11,112,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3219,"Larus novaehollandiae","Silver Gull",2.05,40.2,2,NA,NA,NA,NA,NA,"Unsexed"
82,3232,"Larus pipixcan","Franklin's Gull",2.5,35.8,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3239,"Rissa brevirostris","Red-legged Kittiwake",NA,49.4,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3241,"Sterna caspia","Caspian Tern",2.35,65,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3244,"Sterna elegans","Elegant Tern",1.03,36.48,NA,257,NA,NA,NA,NA,"Unsexed"
82,3248,"Sterna sandvicensis","Sandwich Tern",1.21,35,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3271,"Sterna fuscata","Sooty Tern",1,40.2,2,NA,NA,NA,NA,NA,"Unsexed"
82,3278,"Anous minutus","Black Noddy",1,25.1,2,NA,NA,NA,NA,NA,"Unsexed"
82,3284,"Alle alle","Dovekie",1,28,2,NA,NA,NA,NA,NA,"Unsexed"
82,3285,"Uria aalge","Common Murre",1,108,2,NA,NA,NA,NA,NA,"Unsexed"
82,3286,"Uria lomvia","Thick-billed Murre",1,98.5,2,NA,NA,NA,NA,NA,"Unsexed"
82,3289,"Cepphus grylle","Black Guillemot",1.83,50,2,NA,NA,NA,NA,NA,"Unsexed"
82,3292,"Brachyramphus marmoratus","Marbled Murrelet",1,59.8,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3294,"Synthliboramphus hypoleucus","Xantus's Murrelet",1.8,37.2,NA,NA,NA,NA,NA,30.6,"Unsexed"
82,3299,"Cyclorrhynchus psittacula","Parakeet Auklet",NA,53.8,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3300,"Aethia cristatella","Crested Auklet",1,54.2,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3303,"Cerorhinca monocerata","Rhinoceros Auklet",1,77.7,NA,NA,NA,NA,NA,NA,"Unsexed"
82,3304,"Fratercula arctica","Atlantic Puffin",1,60,2,NA,NA,NA,NA,NA,"Unsexed"
82,3305,"Fratercula corniculata","Horned Puffin",1,75.9,2,637.16,NA,NA,NA,NA,"Unsexed"
82,3306,"Fratercula cirrhata","Tufted Puffin",1,87.9,NA,774.2,NA,NA,NA,NA,"Unsexed"
83,3307,"Pandion haliaetus","Osprey",2.5,72,2,NA,NA,NA,NA,NA,"Unsexed"
